state,year_month,avg_covid_uti,avg_covid_cli,total_deaths
SANTA CATARINA,2022-01,2.77,5.03,9560
PARANÁ,2022-01,3.74,5.83,187
SÃO PAULO,2022-01,2.90,6.97,212
RIO GRANDE DO SUL,2022-01,0.79,2.34,34
MINAS GERAIS,2022-01,2.42,4.83,2680
SERGIPE,2022-01,3.48,3.13,17
RIO DE JANEIRO,2022-01,6.50,4.59,345
GOIÁS,2022-01,1.62,1.66,24564
ALAGOAS,2022-01,2.55,6.88,29
ESPÍRITO SANTO,2022-01,10.61,13.95,107
CEARÁ,2022-01,5.05,12.63,325
MATO GROSSO DO SUL,2022-01,3.06,4.14,5
PERNAMBUCO,2022-01,10.56,8.52,117
BAHIA,2022-01,8.33,8.27,366
PIAUÍ,2022-01,3.76,5.98,65
AMAZONAS,2022-01,3.20,8.98,135
RONDÔNIA,2022-01,3.03,3.85,44
PARAÍBA,2022-01,5.25,8.13,34
ACRE,2022-01,2.79,9.13,17
PARÁ,2022-01,6.48,6.18,179
RIO GRANDE DO NORTE,2022-01,1.18,2.13,14
MARANHÃO,2022-01,4.59,10.42,133
TOCANTINS,2022-01,3.39,6.86,59
DISTRITO FEDERAL,2022-01,4.50,9.90,53
MATO GROSSO,2022-01,3.46,7.02,35
AMAPÁ,2022-01,2.69,14.14,1
RORAIMA,2022-01,10.80,9.00,3
SANTA CATARINA,2022-02,4.05,5.58,10020
SÃO PAULO,2022-02,3.61,5.86,3397
RIO DE JANEIRO,2022-02,7.00,4.73,457
MINAS GERAIS,2022-02,3.38,5.63,2677
ALAGOAS,2022-02,3.11,7.97,71
GOIÁS,2022-02,1.97,1.63,22068
BAHIA,2022-02,9.06,9.33,547
SERGIPE,2022-02,6.93,5.27,51
RIO GRANDE DO SUL,2022-02,1.34,3.01,97
DISTRITO FEDERAL,2022-02,9.94,18.75,97
PERNAMBUCO,2022-02,10.54,8.61,403
PARANÁ,2022-02,5.31,6.65,484
AMAZONAS,2022-02,3.67,4.80,145
ESPÍRITO SANTO,2022-02,7.65,12.23,185
MARANHÃO,2022-02,4.56,6.94,101
CEARÁ,2022-02,6.42,10.54,410
PIAUÍ,2022-02,4.88,7.63,88
PARÁ,2022-02,7.37,7.38,168
AMAPÁ,2022-02,4.78,7.56,7
TOCANTINS,2022-02,3.06,5.74,23
RIO GRANDE DO NORTE,2022-02,3.24,4.80,156
RONDÔNIA,2022-02,4.82,4.88,92
MATO GROSSO DO SUL,2022-02,2.23,2.97,182
PARAÍBA,2022-02,8.05,12.35,92
MATO GROSSO,2022-02,3.43,5.92,43
ACRE,2022-02,3.91,13.22,36
SÃO PAULO,2022-03,1.37,2.07,984
RIO DE JANEIRO,2022-03,3.01,2.56,91
SANTA CATARINA,2022-03,1.79,2.45,11932
MINAS GERAIS,2022-03,1.22,2.14,2003
DISTRITO FEDERAL,2022-03,5.66,4.18,50
PERNAMBUCO,2022-03,6.64,4.12,136
RIO GRANDE DO SUL,2022-03,0.69,1.11,25
SERGIPE,2022-03,3.31,2.29,13
PARANÁ,2022-03,2.59,3.06,170
CEARÁ,2022-03,2.43,5.33,108
GOIÁS,2022-03,0.94,0.57,29246
ESPÍRITO SANTO,2022-03,3.33,5.85,33
RIO GRANDE DO NORTE,2022-03,1.31,1.91,32
BAHIA,2022-03,4.07,4.11,131
MARANHÃO,2022-03,3.35,5.33,24
AMAZONAS,2022-03,0.71,1.77,78
PARAÍBA,2022-03,3.22,2.77,26
ALAGOAS,2022-03,0.33,1.34,9
RONDÔNIA,2022-03,2.56,2.32,27
AMAPÁ,2022-03,0.00,1.94,0
MATO GROSSO DO SUL,2022-03,0.96,0.93,65
PIAUÍ,2022-03,1.98,2.95,13
PARÁ,2022-03,3.55,2.06,139
ACRE,2022-03,0.87,3.50,3
MATO GROSSO,2022-03,3.08,2.70,32
TOCANTINS,2022-03,1.48,1.45,3
SANTA CATARINA,2022-04,0.85,1.54,3419
RIO GRANDE DO NORTE,2022-04,0.70,1.39,3
SÃO PAULO,2022-04,0.61,1.23,176
PARANÁ,2022-04,1.16,1.77,50
RIO DE JANEIRO,2022-04,1.54,12.08,26
SERGIPE,2022-04,0.76,1.50,2
MINAS GERAIS,2022-04,0.32,0.89,1793
PERNAMBUCO,2022-04,6.17,4.00,148
GOIÁS,2022-04,0.45,0.26,27009
ALAGOAS,2022-04,0.16,0.35,3
ESPÍRITO SANTO,2022-04,2.87,5.35,10
RIO GRANDE DO SUL,2022-04,0.22,0.92,17
CEARÁ,2022-04,1.36,7.52,22
BAHIA,2022-04,2.68,2.73,21
DISTRITO FEDERAL,2022-04,3.02,1.92,36
MATO GROSSO DO SUL,2022-04,0.28,0.43,21
PARÁ,2022-04,1.57,1.33,86
